Title,Subject,Subject Name,Geographic Coverage,Photographer,Year,Caption,longitude,latitude,imageurl
"Georgia Ann Farmer kissing the ring of Cardinal McIntyre, St. Vincent's Church, Los Angeles, 1958",Religious services--California--Los Angeles County,"St. Vincent Catholic Church (Los Angeles, Calif.)",Los Angeles (Calif.),,1958,"Text from newspaper caption: Graduation Ceremony--Georgia Ann Farmer, one of the 42 nurses in the 1958 class of St. Vincent's College of Nursing, kisses the ring of Cardinal McIntyre at the presentation of diplomas in St. Vincent's Church yesterday.  The Rev. Charles S. Casassa, SJ, at left, delivered the address to the graduates.",-118.27562,34.03021,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/c1429_b351_112092-1.jpg
"MMC Gordon Gould and J. H. Eggleston after a fire, Los Angeles, 1935",Ladders,"Eggleston, J. H.",Los Angeles (Calif.),,1935,"Text from newspaper caption: Gordon Gould, left, who was working in plant on East Fourth street where blast injured two firemen yesterday, and J. H. Eggleston, showing coats he wrapped around Fireman George A. Damron, hurled more than thirty feet, and made human torch by explosion.",-118.22526,34.042198,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_8670.jpg
"Anna Maria Alberghetti, Deborah Kerr, and Harold E. Hulsing, Los Angeles, 1957",Immigrants--California--Los Angeles,United States. Immigration and Naturalization Service,Los Angeles (Calif.),,1957,"Text from newspaper caption: Glamorous Start--Screen stars Anna Maria Alberghetti, left, and Deborah Kerr register with Harold E. Hulsing, an Immigration Service official, as alien registration month opens.  It was the 10th for Miss Kerr, who is a native of Scotland.",-118.2493513,34.04752671,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b294_102369-5_Alberghetti_Kerr_1-3-1957.jpg
"Women sit for a civil service test at Belmont High School, Los Angeles, 1936",Desks,,Los Angeles (Calif.),,1936,"Text from newspaper caption: From this roomful of 252 applicants for civil service positions, several scores of policewomen will be selected for the Los Angeles force. They were photographed at Belmont High School, while answering questions on law, criminal procedure and juvenile delinquency prevention.",-118.262949,34.061454,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_14133.jpg
"Mrs. Sidney Burritt and Mrs. Parkman Burritt at the dry ice plant, Niland, 1936",Machinery,"Burritt, Sidney, $c (Mrs.)",Niland (Calif.),,1936,"Text from newspaper caption: From the well the gas goes round and round through machines and as snow finally reaches a gigantic ""vise"" where it is compressed and emerges into fifty-pound cakes ready for market. Shown at the gigantic hydraulic ""vise"" are Mrs. Sidney Burritt, left, and Mrs. Parkman Burritt. The plant, now producing ten tons of dry ice a day, may soon have to expand.",-115.579245,33.21912,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_14358.jpg
"Actress Dana Wynter, Los Angeles, 1960",Women $z California $z Los Angeles,"Wynter, Dana",Los Angeles (Calif.),,1960,Text from newspaper caption: Floral Fountains--Mrs. Gregson Bautzer (star Dana Wynter) on of the 10 women of fashion chose by Mannequins of the Assistance League.,-118.33314,34.06595,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b428_203237-2_Wynter_Fountains_4-29-1960.jpg
"William J. Goss, Lawrence E. Olson, P. T. Primm and Samuel Davis at the site of the new check dams, Glendale, 1935",Flood control $z California $z Glendale,"Primm, P. T. $q (Phillip T.), $d 1890-1976",Glendale (Calif.),,1935,"Text from newspaper caption: Flood Danger Curbed for Glendale Folk: P. T. Primm, regional inspector for Southern California for National Park Service, officially presents to the city of Glendale two major check dams constructed by the Civilian Conservation Corps. Left to right--councilman William J. Goss, Lawrence E. Olson, Mayor of Glendale, Inspector Primm and Councilman Davis.",-118.275917,34.185114,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_10016.jpg
"Three firefighters work to contain fire from an oil explosion at Petrol Corporation Refinery, Vernon, 1935",Explosions $z California $z Vernon,,Vernon (Calif.),,1935,"Text from newspaper caption: Flames Fought Among Kerosene Tanks: Surrounded by tanks holding thousands of gallons of kerosene and gasoline, firemen last night won a fight to control a blaze at the Petrol Corporation Refinery on Bandini Boulevard which started from an explosion at a tank wagon. Firemen here are quelling a blaze in one of five kerosene tanks that exploded while the flames are consuming another tank in the right background.",-118.193025,34.003928,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_10278.jpg
"George W. Rochester and Upton Sinclair at a debate at the Hollywood Bowl, Los Angeles, 1935",Debates $z California $z Los Angeles,"Hollywood Bowl (Los Angeles, Calif.)",Los Angeles (Calif.),,1935,"Text from newspaper caption: Fish Laughs at His Hecklers: When Representative Hamilton Fish, Jr., of New York, and Upton Sinclair debated at Hollywood Bowl yesterday, Hecklers hooted him. He just laughed. Fish is shown above and Sinclair below, with ex-state Senator George W. Rochester at left.  [Los Angeles Times, 19 Aug. 1935: 12].",-118.338868,34.112657,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_10271.jpg
"Rev. Oscar P. Bell wheels a shell cart during civilian training at Fort MacArthur, San Pedro, 1921",Forts & Fortifications $x American $z California $z San Pedro,"Bell, Oscar O. $q (Oscar Perry), $d 1880-1961","San Pedro (Los Angeles, Calif.)",,1921,"Text from newspaper caption: Fighting Parson Prepares for a Scrap.: Rev. O. P. Bell, Pastor of the United Presbyterian Church of Long Beach one of detachment of civilians that made mimic war at Fort MacArthur yesterday."" [Los Angeles Times, 30 Sep. 1921: II3]",-118.296181,33.711964,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_4015.jpg
